Wall time,Step,Value
1716030434.165676,509,0.10000000149011612
1716030435.875059,510,0.10000000149011612
1716030437.0754912,511,0.20000000298023224
1716030438.488419,512,0.0
1716030439.655123,513,0.10000000149011612
1716030440.541891,514,0.20000000298023224
1716030444.398933,517,0.20000000298023224
1716030445.739983,518,0.10000000149011612
1716030447.3191419,519,0.10000000149011612
1716030466.3721669,533,0.0
1716030467.273383,534,0.30000001192092896
1716030470.001337,536,0.10000000149011612
1716030470.999839,537,0.20000000298023224
1716030471.844959,538,0.30000001192092896
1716030475.2133088,540,0.0
1716030480.479913,544,0.0
1716030482.3742878,546,0.10000000149011612
1716030486.82565,550,0.10000000149011612
1716030489.0566778,552,0.30000001192092896
1716030493.402574,556,0.0
1716030502.0647092,562,0.20000000298023224
1716030505.0041249,564,0.0
1716030510.182358,568,0.10000000149011612
1716030516.155802,573,0.10000000149011612
1716030529.7706828,584,0.20000000298023224
1716030531.36749,585,0.30000001192092896
1716030534.166263,588,0.30000001192092896
1716030536.7943182,590,0.30000001192092896
1716030537.982551,591,0.10000000149011612
1716030542.2821271,594,0.0
1716030544.863956,596,0.30000001192092896
1716030554.6195252,603,0.10000000149011612
1716030561.5022411,608,0.20000000298023224
1716030568.403745,613,0.10000000149011612
1716030569.446548,614,0.10000000149011612
1716030579.361941,622,0.0
1716030580.543215,623,0.10000000149011612
1716030584.28614,626,0.20000000298023224
1716030586.94299,628,0.0
1716030588.0039349,629,0.0
1716030593.498431,633,0.20000000298023224
1716030598.140564,637,0.20000000298023224
1716030605.992838,643,0.10000000149011612
1716030607.3711932,644,0.0
1716030613.19857,649,0.10000000149011612
1716030615.496032,651,0.20000000298023224
1716030620.6432488,655,0.20000000298023224
1716030624.386892,658,0.20000000298023224
1716030626.8985002,660,0.4000000059604645
1716030634.6181161,667,0.0
1716030638.80372,670,0.0
1716030645.269641,675,0.10000000149011612
1716030646.650978,676,0.20000000298023224
1716030651.9556942,680,0.20000000298023224
1716030657.594461,684,0.10000000149011612
1716030667.0566368,692,0.20000000298023224
1716030669.622398,694,0.20000000298023224
1716030672.1170151,696,0.0
1716030673.177529,697,0.4000000059604645
1716030679.071954,702,0.4000000059604645
1716030688.2914429,710,0.10000000149011612
1716030695.063745,715,0.20000000298023224
1716030701.85158,721,0.20000000298023224
1716030703.613615,723,0.20000000298023224
1716030706.358516,725,0.30000001192092896
1716030707.753411,726,0.20000000298023224
1716030710.668792,728,0.30000001192092896
1716030712.053832,729,0.4000000059604645
1716030714.2186,731,0.30000001192092896
1716030715.4000819,732,0.4000000059604645
1716030716.60654,733,0.20000000298023224
1716030721.82336,738,0.4000000059604645
1716030729.056373,744,0.20000000298023224
1716030753.1981492,764,0.20000000298023224
1716030754.0996952,765,0.5
1716030763.924691,772,0.20000000298023224
1716030767.16433,775,0.0
1716030768.18992,776,0.20000000298023224
1716030769.9239628,778,0.20000000298023224
1716030772.676408,780,0.6000000238418579
1716030774.607789,782,0.20000000298023224
1716030780.669255,788,0.30000001192092896
1716030800.524168,804,0.20000000298023224
1716030801.567626,805,0.10000000149011612
1716030803.454392,807,0.5
1716030807.549828,810,0.4000000059604645
1716030817.166116,818,0.30000001192092896
