rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/explained_variance,train/loss,train/entropy_loss,train/value_loss,train/n_updates,train/clip_range
-21.686471939086914,983040,25.0,236,4149,160,-0.013665158887548993,0.0083341785,0.093408203125,0.0003,0.8605331778526306,-0.00968501903116703,-0.7394190187255542,0.001262639002410045,1590,0.2
-21.796934127807617,989184,25.0,238,4149,161,-0.014822579529815508,0.008668153,0.083544921875,0.0003,0.8232874125242233,-0.04502661153674126,-0.725783265940845,0.0015812780290313337,1600,0.2
-22.660642623901367,995328,25.0,239,4149,162,-0.014588459244502397,0.009560493,0.08527018229166666,0.0003,0.8570248931646347,-0.01856439933180809,-0.7071845231577754,0.001343506180425417,1610,0.2
-23.592222213745117,1001472,25.0,241,4149,163,-0.014417805902000206,0.008551808,0.08509114583333334,0.0003,0.8728474378585815,-0.00893201120197773,-0.7266919985413551,0.0015507441725882624,1620,0.2
-21.377546310424805,1007616,25.0,242,4149,164,-0.0160859003267736,0.008933409,0.08824869791666666,0.0003,0.8326509743928909,-0.022695442661643028,-0.7401283454149962,0.0017085456422137213,1630,0.2
-21.70611000061035,1013760,25.0,244,4147,165,-0.016035507642421485,0.00927044,0.09521484375,0.0003,0.86009182035923,-0.017358936369419098,-0.7266274132455389,0.0014554124257301737,1640,0.2
-20.704008102416992,1019904,25.0,245,4148,166,-0.014812627961994925,0.009471829,0.09645182291666667,0.0003,0.8196186721324921,-0.014794256538152695,-0.7006283702328802,0.0014335200864176538,1650,0.2
-20.482589721679688,1026048,25.0,247,4147,167,-0.017216617602389305,0.010283903,0.10196940104166667,0.0003,0.8448681682348251,-0.016884835436940193,-0.70679901111871,0.0014864170794983997,1660,0.2
-21.964405059814453,1032192,25.0,248,4147,168,-0.013690118419860179,0.009293499,0.09479166666666666,0.0003,0.8155768811702728,-0.040672317147254944,-0.720645897462964,0.0015450914232739402,1670,0.2
-21.146015167236328,1038336,25.0,250,4147,169,-0.01532676254294832,0.009723016,0.08865559895833333,0.0003,0.8546217530965805,-0.010440659709274769,-0.6848184939473867,0.0013940924304430761,1680,0.2
-21.114242553710938,1044480,25.0,251,4146,170,-0.01421584631340617,0.008241563,0.09078776041666667,0.0003,0.8484058678150177,-0.0017836117185652256,-0.7356842764963706,0.0014414803140122483,1690,0.2
-22.64950180053711,1050624,25.0,253,4146,171,-0.015199502573765736,0.009457376,0.09715169270833333,0.0003,0.8620940297842026,-0.0012754901545122266,-0.7131029806410273,0.0016623468899827762,1700,0.2
-23.712486267089844,1056768,25.0,254,4146,172,-0.01725233292527264,0.010641519,0.10847981770833333,0.0003,0.8479422777891159,-0.028690330684185028,-0.7141164584085345,0.001519471935838131,1710,0.2
-19.435209274291992,1062912,25.0,256,4145,173,-0.0162749586168502,0.010338553,0.103466796875,0.0003,0.8343562185764313,0.021916331723332405,-0.7368892027686039,0.0021313071044763393,1720,0.2
-21.470430374145508,1069056,25.0,257,4145,174,-0.015554507396397335,0.00988974,0.09778645833333334,0.0003,0.8537552356719971,-0.03671882301568985,-0.7338698847840229,0.0018098237926703102,1730,0.2
-22.619155883789062,1075200,25.0,259,4143,175,-0.012772338418775083,0.008992564,0.08977864583333334,0.0003,0.8273978382349014,-0.03155433014035225,-0.7258705624068776,0.001983924242995272,1740,0.2
-23.282960891723633,1081344,25.0,260,4143,176,-0.013707049012494584,0.00914191,0.09220377604166667,0.0003,0.8404513448476791,-0.012925117276608944,-0.7270707636450727,0.0016477034140431593,1750,0.2
-21.866621017456055,1087488,25.0,262,4143,177,-0.015385871113054842,0.009315924,0.0955078125,0.0003,0.8244102448225021,0.007374267093837261,-0.7682515822350979,0.0017698406682332764,1760,0.2
-20.599016189575195,1093632,25.0,263,4143,178,-0.017601537608910197,0.010937527,0.10947265625,0.0003,0.8096404075622559,-0.017427485436201096,-0.7259146689126889,0.0020344701129336802,1770,0.2
-20.70595932006836,1099776,25.0,265,4143,179,-0.014563904381066094,0.0077444925,0.083935546875,0.0003,0.8437670767307281,-0.022725148126482964,-0.7195669006556272,0.0018103397931554354,1780,0.2
-20.120323181152344,1105920,25.0,266,4142,180,-0.01676991056689682,0.009809609,0.095849609375,0.0003,0.8402141332626343,-0.010774064809083939,-0.685144874577721,0.001528812864125939,1790,0.2
-21.256973266601562,1112064,25.0,268,4142,181,-0.013293403069595418,0.008418982,0.08369140625,0.0003,0.8731929808855057,-0.03421984612941742,-0.699171191205581,0.001325182696958412,1800,0.2
-22.543352127075195,1118208,25.0,269,4142,182,-0.015118941038478322,0.008766907,0.09210611979166666,0.0003,0.8401616215705872,-0.05425036698579788,-0.6927140484253566,0.0016127389925410776,1810,0.2
-20.282878875732422,1124352,25.0,271,4143,183,-0.01570729854235348,0.009353596,0.09537760416666667,0.0003,0.8382901400327682,-0.01619032584130764,-0.6822338342666626,0.001753996064144303,1820,0.2
-21.306562423706055,1130496,25.0,272,4143,184,-0.01550009289640002,0.009194941,0.09498697916666667,0.0003,0.8637001514434814,-0.0132353026419878,-0.7091826632618904,0.0012377423860319445,1830,0.2
-20.731201171875,1136640,25.0,274,4143,185,-0.014995287582375264,0.009108293,0.08728841145833334,0.0003,0.7979000210762024,-0.026797745376825333,-0.7327919853230317,0.0022386711005310646,1840,0.2
-22.552675247192383,1142784,25.0,275,4143,186,-0.01608901983636315,0.01101135,0.106201171875,0.0003,0.8329032808542252,0.009157039225101471,-0.7215815256660183,0.001688528453632898,1850,0.2
-20.48070526123047,1148928,25.0,277,4143,187,-0.014646851561459092,0.009941847,0.10343424479166667,0.0003,0.7866309434175491,-0.02798309363424778,-0.7321311752622326,0.0022077950492530364,1860,0.2
-22.936464309692383,1155072,25.0,278,4143,188,-0.014281993763385495,0.010002178,0.10027669270833334,0.0003,0.7361390888690948,-0.02949593961238861,-0.7214282574132085,0.002012891331590557,1870,0.2
-22.707040786743164,1161216,25.0,280,4142,189,-0.014243322973682856,0.010136149,0.10213216145833333,0.0003,0.8372024297714233,-0.01716335490345955,-0.736954108501474,0.0022155481534355203,1880,0.2
-21.428028106689453,1167360,25.0,281,4141,190,-0.016874265538353937,0.010929286,0.107373046875,0.0003,0.802093431353569,-0.03097549080848694,-0.7346910163760185,0.0018773627974345193,1890,0.2
-21.640336990356445,1173504,25.0,283,4140,191,-0.01639856666321672,0.010416466,0.10100911458333334,0.0003,0.8153789937496185,-0.03365854173898697,-0.7293259074290593,0.0017176307307333143,1900,0.2
-23.44939422607422,1179648,25.0,284,4141,192,-0.018762176409654784,0.011896719,0.11388346354166666,0.0003,0.82563216984272,0.007940251380205154,-0.7260806869715453,0.001888803623660351,1910,0.2
